DESCRIPTION,UPC,PRICE,AVAIL,ORDER,TOTAL,TYPE,BRAND
GHOST WHISPER BLUSH 2.5 EDT L TST  (101761),33030090,5,37,,,Tester,GHOST
ABERCROMBIE & FITCH FIERCE 3.4 EDC M  (106230),612871691,66,914,,,Regular,ABERCROMBIE
ABERCROMBIE & FITCH FIERCE 1.7 EDC M  (106228),620961507,45,142,,,Regular,ABERCROMBIE
HAPPY 3.4 EDP L  (102059),02071415689,27,999,,,Regular,CLINIQUE
AROMATIC ELIXIR 1.5 EDP L  (100362),020714001940,22,999,,,Regular,ESTEE LAUDER
AROMATIC ELIXIR 0.85 EDP L   (100361),020714005887,16,252,,,Regular,ESTEE LAUDER
HAPPY 1.7 EDP L  (102056),020714052959,18.5,999,,,Regular,CLINIQUE
HAPPY 1.7 EDC M  (106592),020714080303,16,999,,,Regular,CLINIQUE
HAPPY 3.4 EDC M  (106959),020714080310,24,999,,,Regular,CLINIQUE
HAPPY HEART 3.4 EDP L  (102063),020714881429,27.5,77,,,Regular,CLINIQUE
HAPPY HEART 1.7 EDP L  (102062),020714881436,18.5,453,,,Regular,CLINIQUE
HAPPY 1.0 EDP L  (102055),020714997298,14,999,,,Regular,CLINIQUE
ARAMIS DEVIN 3.4 EDC M  (100307),022548005064,14.5,678,,,Regular,ARAMIS
ARAMIS TUSCANY 3.4 EDT M  (100312),022548005217,18.5,874,,,Regular,ARAMIS
TOMMY 3.4 EDT M  (103525),022548024324,16,488,,,Regular,TOMMY HILFIGER
KITON 4.2 EDT M  (112268),022548038000,30.5,48,,,Regular,UNDEFINED
TOMMY GIRL 1.7 EDT  L   (104295),022548040119,12,483,,,Regular,TOMMY HILFIGER
TOMMY GIRL 3.4 EDT L  (104413),022548040126,16.5,999,,,Regular,TOMMY HILFIGER
MICHAEL KORS 1.7 EDP L  (102816),022548099148,27.5,390,,,Regular,MICHAEL KORS
MICHAEL KORS 3.4 EDP L  (102817),022548099155,39.5,999,,,Regular,MICHAEL KORS
DKNY FRESH BLOSSOM 1.0 EDP L  (104635),022548181089,13.5,708,,,Regular,DONNA KARAN
ARAMIS 900 3.4 EDC M  (100305),022548199329,16,228,,,Regular,ARAMIS
ARAMIS NEW WEST 3.4 EDT M  (100311),022548199466,15.5,708,,,Regular,ARAMIS
DKNY PURE VANILLA 3.4 EDP L  (108024),022548204696,20,805,,,Regular,DONNA KARAN
MICHAEL KORS GLAM JASMINE 3.4 EDP L  (105892),022548289716,38,839,,,Regular,MICHAEL KORS
TORY BURCH 3.4 EDP L  (108646),022548295700,55,999,,,Regular,TORY BURCH
COACH POPPY FREESIA BLOSSOM 3.4 EDP L  (106525),022548303580,25.25,177,,,Regular,COACH
COACH POPPY CITRINE BLOSSOM 3.4 EDP L  (106526),022548303627,25,295,,,Regular,COACH
MICHAEL KORS GOLD LUXE EDITION 3.4 EDP L  (107612),022548310830,34,146,,,Regular,MICHAEL KORS
COACH POPPY WILD FLOWER 3.4 EDP L  (106527),022548313527,25.25,348,,,Regular,COACH
TORY BURCH JOLIE FLEUR ROSE 3.4 EDP L  (108152),022548339725,45,999,,,Regular,TORY BURCH
MICHAEL KORS CORAL 1.7 EDP L  (106515),022548346914,30,71,,,Regular,MICHAEL KORS
DKNY BE TEMPTED 1.0 EDP L  (111469),022548355169,15,16,,,Regular,DONNA KARAN
TORY BURCH JOLIE FLEUR BLEUE 3.4 EDP L  (108151),022548355558,45,688,,,Regular,TORY BURCH
TORY BURCH JOLIE FLEUR VERTE 3.4 EDP L  (108153),022548355572,45,999,,,Regular,TORY BURCH
DKNY BE DESIRED 3.4 EDP L  (105691),022548356746,21,29,,,Regular,DONNA KARAN
MICHAEL KORS TURQUOISE 3.4 EDP L  (109175),022548360538,40,616,,,Regular,MICHAEL KORS
MICHAEL KORS TURQUOISE 1.7 EDP L  (112349),022548360545,25.5,33,,,Regular,MICHAEL KORS
MICHAEL KORS STYLISH AMBER 3.4 EDP L   (108511),022548363508,37,999,,,Regular,MICHAEL KORS
